CVL-OFI-2026/07293	-	Otávio	CONCLUÍDO	"PL nº 2417/2026, que ""INSTITUI POLÍTICA MUNICIPAL DE MITIGAÇÃO E COMPENSAÇÃO ECONÔMICA DE IMPACTOS DECORRENTES DE OBRAS PÚBLICAS, INTERVENÇÕES URBANAS E OBRAS DE INFRAESTRUTURA DE LONGA DURAÇÃO OU COM ATRASO RELEVANTE"""
CVL-OFI-2026/07338	-	Otávio	CONCLUÍDO	"PL nº 2425/2026, que ""INSTITUI DIRETRIZES PARA O FOMENTO À INOVAÇÃO TECNOLÓGICA NO MUNICÍPIO"""
Despacho de Ciência (SEI 000184.010055/2026-64)	-	Otávio	CONCLUÍDO	"Lei nº 9.513/2026 (PL nº 638/2025), que ""INSTITUI O SELO EMPRESA AMIGA DAS ENTREGADORAS(ES) NO MUNICÍPIO DO RIO DE JANEIRO"" — Despacho de Ciência"
Despacho de Ciência (SEI 000184.010075/2026-35)	-	Otávio	CONCLUÍDO	"Lei nº 9.528/2026 (PL nº 1964/2026), que ""INCLUI O DIA DO EMPRESÁRIO NO CALENDÁRIO OFICIAL DA CIDADE"" — Despacho de Ciência (sanção; manifestação prévia no CVL 1765/2026)"
CVL-OFI-2026/03932	-	Otávio	CONCLUÍDO	"PL nº 2135/2026, que ""VEDA A CONCESSÃO DE BENEFÍCIOS FISCAIS E ISENÇÕES TRIBUTÁRIAS MUNICIPAIS A EMPRESAS OU GRUPOS ECONÔMICOS COM CONDENAÇÕES TRABALHISTAS TRANSITADAS EM JULGADO"""
CVL-OFI-2026/03949	-	Otávio	CONCLUÍDO	"PL nº 2146/2026, que ""INSTITUI O SELO INOVAÇÃO SUSTENTÁVEL E O SELO INOVAÇÃO DIGITAL NO ÂMBITO DO MUNICÍPIO"""
CVL-OFI-2026/07113	-	Otávio	CONCLUÍDO	"PL nº 2338/2026, que ""DISPÕE SOBRE A OBRIGATORIEDADE DE INSTALAÇÃO DE BANHEIROS DE USO NEUTRO, DE ACESSO UNIVERSAL E NÃO-GENERIFICADO, EM ESTABELECIMENTOS PÚBLICOS E PRIVADOS DE USO COLETIVO"""
CVL-OFI-2026/07184	-	Otávio	CONCLUÍDO	"PL nº 2362/2026, que ""INSTITUI O PROGRAMA ""CARIOCA NO HOTEL"", DESTINADO À CONCESSÃO DE DESCONTOS EM MEIOS DE HOSPEDAGEM PARA MORADORES DO MUNICÍPIO DO RIO DE JANEIRO"""
CVL-OFI-2026/07187	-	Otávio	CONCLUÍDO	"PL nº 2364/2026, que ""INSTITUI O PROGRAMA MUNICIPAL DE FINANCIAMENTO CLIMÁTICO COMPARTILHADO E DESENVOLVIMENTO SUSTENTÁVEL"""
CVL-OFI-2026/07490	-	Otávio	CONCLUÍDO	"PL nº 2465/2026, que ""CONCEDE GRATUIDADE NO TRANSPORTE COLETIVO MUNICIPAL AO ACOMPANHANTE DE PESSOA IDOSA EM TRATAMENTO DE DOENÇAS DE ALTO RISCO DE MORTALIDADE, COMO AS ONCOLÓGICAS, DEGENERATIVAS E AUTOIMUNES"""
CVL-OFI-2026/06227	-	Otávio	CONCLUÍDO	"PL nº 2289/2026, que ""VEDA A COBRANÇA TOTAL OU PARCIAL DE TARIFA DE ESGOTAMENTO SANITÁRIO EM IMÓVEIS ATENDIDOS PREDOMINANTEMENTE POR SISTEMAS DE COLETORES DE TEMPO SECO (CTS)"" — refeito 12/08/2026 (determinação do Subsecretário Marcel, 29/07: posição e ótica econômica)"
CVL-OFI-2026/06233	-	Otávio	CONCLUÍDO	"PL nº 2290/2026, que ""DISPÕE SOBRE A COBRANÇA DO ESGOTAMENTO SANITÁRIO FATURADO POR CONSUMO MÍNIMO PRESUMIDO DE ÁGUA"" — refeito 12/08/2026 (determinação do Subsecretário Marcel, 29/07: posição e ótica econômica)"
CVL-OFI-2026/06366	-	Otávio	CONCLUÍDO	"PL nº 2326/2026, que ""TORNA OBRIGATÓRIA A UTILIZAÇÃO DA MARCA ""VISIT RIO"" NA COMUNICAÇÃO DE EVENTOS REALIZADOS EM ESPAÇOS PÚBLICOS OU APOIADOS POR ÓRGÃO DA ADMINISTRAÇÃO MUNICIPAL"" — refeito 12/08/2026 (determinação do Subsecretário Marcel, 29/07: posição e ótica econômica)"
CVL-OFI-2026/01279	-	Otávio	CONCLUÍDO	"PLC nº 103/2026, que ""ACRESCENTA PARÁGRAFO ÚNICO AO ART. 53 DA LC Nº 229/2021 (REVIVER CENTRO), SUBMETENDO OS INCENTIVOS FISCAIS A REAVALIAÇÃO BIENAL PARA REDUZIR O DÉFICIT HABITACIONAL E COIBIR LOCAÇÕES DE CURTA DURAÇÃO"" — revisado 27/07/2026 (determinação do Subsecretário Marcel)"
